ID;Produit;Annonceur;Pubs correspondantes;
116;Coup de coeur FNAC Micro/Joystick;FNAC;3494, 3495, 3497;
117;ting (jeux, matériel, magasin) JPF Import;JPF Import;3420, 3505, 3560, 3601, 3629;
118;Listing (jeux, matériel, magasin) Funware;Funware;3516, 3550, 3580, 3634, 3692, 3734, 3762, 3816, 3864, 3987, 4045, 4089;
119;Listing (jeux, logiciels dont porno, matériel, magasin) Floppy International;Floppy International;3440, 3441, 3487, 3553, 3596, 3631;
120;Listing (jeux, matériel, magasin) Neocom Simulation;Neocom Simulation;3430, 3556;
121;Listing (jeux, matériel, magasin) Luditop VPC;Luditop VPC;3479, 3565;
122;Listing (jeux, matériel, magasin) Micro Pc;Micro Pc;3551, 3584, 3623, 3686;
123;Listing (jeux, matériel, magasin) Stockless;Stockless;3527, 3595, 3639, 3664;
124;Listing (jeux, matériel, magasin) Gale Force Jeux;Gale Force Jeux;3554, 3598, 3650, 3695, 3729, 3779;
125;Listing (jeux, matériel, magasin, logiciels) MCCR Boutique;MCCR Boutique;3570, 3622, 3669, 3726, 3755;
126;Listing (jeux, matériel, magasin) Virtual Dreams;Virtual Dreams;3608, 3638, 3688, 3715;
127;Listing (jeux, matériel, magasin) Inforom;Inforom;3563, 3646;
128;Listing (jeux, matériel, magasin) Wendis Direct;Wendis Direct;3626, 3672, 3721, 3768;
129;Listing (jeux, matériel, magasin) Ultima Games;Ultima Games;3643, 3679, 3728;
130;Listing (jeux, matériel, magasin) Wial France SARL;Wial France SARL;3604, 3648, 3681, 3723, 3778, 3806, 3848, 3935, 3997, 4035, 4082, 4119, 4155, 4200, 4232, 4285, 4308, 4380, 4418, 4524, 4567, 4594, 4641, 4665, 4721, 4762, 4816, 4859, 4909, 4997, 5057, 5120, 5168, 5211, 5267;
131;Listing (jeux, matériel, magasin) JPF Import;JPF Import;3680, 3704, 3752;
132;Listing (jeux, matériel, magasin Axyom;Axyom;3730, 3760;
133;Listing jeux, logiciel Floppy International;Floppy International;3727, 3764;
134;Listing (jeux, matériel, magasin) Micro Pc;Micro Pc;3706, 3767, 3857, 3891, 4012, 4050, 4093, 4134, 4176, 4214, 4245, 4309, 4369, 4434;
135;Listing (jeux, matériel, magasin) Club Games;Club Games;3781, 3808, 3843;
136;Listing (jeux, matériel, magasin, logiciels) Score Games;Score Games;3787, 3829, 3872, 3938, 4015;
137;Listing (jeux, matériel, magasin) JPF Import;JPF Import;3798, 3841;
138;Listing (jeux, matériel, magasin) Ultima Games;Ultima Games;3782, 3823, 3846;
139;Listing (jeux, matériel, magasin) Micromania;Micromania;3844, 3886, 3958, 4032, 4074, 4105, 4147, 4184, 4223, 4273, 4299, 4349, 4416, 4490, 4552, 4586, 4622, 4661, 4702, 4756;
140;Listing (jeux, matériel, magasin) Dream Games;Dream Games;3597, 3616, 3802, 3894, 3995, 4127, 4269;
141;Abonnement Joystick;Joystick;3579, 3652, 3696, 3739, 3754, 3817, 3839, 3915, 3992, 4028, 4076, 4168;
142;Listing (jeux, matériel, magasin) JPF Import;JPF Import;3878, 3969, 4030, 4098, 4111, 4150;
143;Listing (jeux, matériel, magasin) Club Games;Club Games;3903, 3998, 4051, 4069, 4135;
144;Listing (jeux, matériel, magasin) Ultima Games;Ultima Games;3916, 4004;
145;Listing (jeux, matériel, magasin, logiciel) Planète Games;Planète Games;3929, 4011;
146;Listing (jeux, matériel, magasin, logiciel) MCCR Boutique;MCCR Boutique;3970, 4037, 4086, 4157;
147;Listing (jeux, matériel, magasin, logiciel) Deltarom;Deltarom;3986, 4043, 4080, 4125, 4217, 4229, 4293, 4316, 4371, 4441, 4522, 4559, 4604, 4642, 4681, 4728, 4768, 4813, 4851;
148;Listing (jeux, matériel, magasin, logiciels) Score Games;Score Games;4060, 4099, 4107, 4180;
149;3615 Joystick;Joystick;4141, 4142, 4143;
150;Listing (jeux, matériel, magasin) Génération Micro;Génération Micro;3897, 3996, 4053, 4090, 4146, 4192, 4238, 4256, 4325, 4363, 4417, 4532, 4568, 4587, 4633, 4672, 4731, 4739, 4797, 4842;
151;Listing (jeux, matériel, magasin) Funware;Funware;4122, 4178, 4209;
152;Abonnement Joystick;Joystick;4151, 4194;
153;Listing (jeux, matériel, magasin, logiciels) Club Games;Club Games;4156, 4197;
154;Listing (jeux, matériel, magasin) Premier Mail Order;Premier Mail Order;4165, 4206, 4253, 4267, 4330, 4366, 4442, 4535, 4551, 4598, 4643, 4658, 4720, 4763, 4815, 4860, 4919, 4970, 5049, 5130, 5162, 5222, 5266, 5319, 5358;
155;Listing (jeux, magasin, logiciels) Ultima Games;Ultima Games;4110, 4173, 4208, 4246;
